city,body_type,Kms_Driven,oem,model,modelYear,variantName,price,Insurance Validity,Fuel Type,Seating_Capacity,Ownership,Transmission,Color
5,8,70000,30,261,2014,1175,975000,4,4,5,4,0,135
5,2,23981,4,37,2017,1607,266000,1,4,5,1,1,107
5,7,7100,27,225,2021,1406,595000,1,4,5,1,0,9
5,2,71574,9,85,2011,149,223000,4,4,5,3,1,107
5,7,50000,0,7,2014,679,1200000,4,1,5,3,0,135
5,2,35629,20,173,2018,1737,425000,1,4,5,1,0,14
5,2,11476,9,76,2020,1571,596000,1,4,5,3,0,113
5,2,31000,27,224,2018,1409,250000,4,4,5,1,1,113
5,8,41005,20,169,2011,1769,221000,1,4,5,3,1,113
5,2,60055,20,173,2010,1218,208000,4,4,5,1,1,107
5,2,65005,20,168,2013,1728,311000,1,4,5,1,1,56
5,2,2657,27,224,2022,1405,463999,4,4,5,1,1,107
5,2,16000,9,84,2011,1289,204999,1,4,5,1,1,56
5,7,7426,29,242,2023,1914,2175000,1,1,5,1,0,107
5,2,27046,20,148,2018,83,643000,1,4,5,1,0,113
5,7,30100,30,267,2021,597,3750000,4,1,7,1,0,8
5,2,9000,20,173,2022,1233,545000,1,4,5,1,1,14
5,2,17000,9,85,2022,1575,750000,4,4,5,1,1,56
5,7,49200,12,96,2021,480,1650000,1,1,5,1,0,56
5,2,35000,9,84,2009,1067,225000,1,4,5,3,1,107
5,7,30000,14,109,2020,484,5990000,4,1,5,3,0,54
5,2,54044,20,147,2017,1761,315000,4,4,5,1,1,113
5,7,6500,29,251,2021,1842,799000,4,4,5,1,1,55
5,8,29159,20,153,2017,1773,526000,5,4,5,1,1,107
5,7,30000,14,109,2020,484,5990000,4,1,5,3,0,113
5,8,31968,8,59,2016,2009,675000,1,4,5,1,0,14
5,2,44150,9,74,2019,831,612000,4,4,5,3,1,9
5,2,60000,9,85,2010,121,189000,4,4,5,1,1,85
5,7,25009,9,69,2018,397,990000,1,4,5,1,0,56
5,2,46469,20,168,2020,1728,534000,5,4,5,1,1,113
5,7,45000,9,69,2018,418,800000,4,4,5,1,1,135
5,8,31577,9,81,2020,1496,983000,4,4,5,1,1,8
5,2,56005,20,151,2014,1740,281000,1,4,5,1,0,107
5,2,10005,20,173,2021,1728,535000,1,4,5,1,1,14
5,2,41163,9,73,2017,92,475000,1,4,5,1,1,107
5,8,17839,21,189,2020,1079,5300000,1,1,5,1,0,56
5,8,3800,30,276,2019,1665,695000,1,4,5,1,1,107
5,2,34124,20,173,2018,1728,395000,1,4,5,1,1,9
5,2,50000,9,85,2012,210,200000,4,1,5,3,1,85
5,8,48168,8,59,2018,2029,750000,1,4,5,1,1,65
5,4,20000,17,127,2019,1275,975000,4,1,8,4,1,85
5,8,56357,20,169,2018,1224,480000,4,4,5,1,1,135
5,8,60000,20,169,2010,1769,245000,4,4,5,1,1,9
5,2,10585,20,148,2022,981,719000,1,4,5,1,1,9
5,8,50000,8,61,2012,437,375000,4,4,5,3,0,85
5,7,17642,9,69,2020,1435,1214000,5,4,5,1,1,135
5,2,20000,29,256,2018,55,438999,4,1,5,1,1,85
5,2,9157,9,74,2021,831,753000,4,4,5,1,1,9
5,8,65979,8,55,2016,1454,362000,1,4,5,3,1,85
5,8,65000,28,235,2014,408,300000,4,1,5,1,1,49
5,2,7940,4,37,2020,31,389000,1,4,5,3,1,113
5,2,100000,9,77,2010,1104,114999,4,4,5,2,1,8
5,8,40000,1,12,2011,661,865000,1,1,5,1,0,107
5,8,60000,5,41,2011,1018,185000,4,4,5,3,1,54
5,8,19859,1,15,2019,733,3950000,1,1,5,1,0,56
5,7,7405,12,99,2023,1423,6250000,1,4,5,1,0,135
5,7,52922,8,56,2016,2028,620000,1,4,7,1,1,113
5,7,60000,6,48,2015,342,350000,4,4,5,1,1,107
5,2,32000,9,73,2019,92,463999,1,4,5,1,1,9
5,2,47739,8,62,2017,162,412000,1,4,5,3,1,107
5,2,10717,20,147,2019,1735,375000,4,4,5,3,0,113
5,8,41000,8,59,2015,2002,621000,1,1,5,1,1,135
5,2,17619,9,76,2020,1299,443000,1,4,5,3,1,113
5,2,9221,27,224,2021,26,422000,1,4,5,1,1,107
5,7,70000,8,65,2019,2025,550000,4,4,5,1,1,113
5,2,10519,20,168,2019,1728,545000,4,4,5,1,1,113
5,8,50000,9,81,2014,406,450000,4,4,5,3,1,85
5,2,19907,20,151,2022,1750,597000,1,0,5,1,1,85
5,2,84771,20,168,2015,1728,330000,1,4,5,3,1,113
5,2,7000,8,57,2015,1714,595000,1,4,5,3,0,56
5,8,50000,8,59,2017,2027,500000,4,4,5,1,1,56
5,8,52000,0,4,2013,504,1075000,1,1,5,1,0,135
5,7,15407,29,251,2021,1848,835000,1,4,5,1,1,41
5,2,50000,9,84,2009,1290,175000,4,4,5,3,1,85
5,8,80000,7,0,1985,916,495000,1,4,5,1,1,9
5,8,58000,8,59,2017,2027,550000,4,4,5,1,1,113
5,8,14000,9,81,2021,1485,1025000,4,4,5,1,1,9
5,8,80000,9,71,2014,1485,350000,4,4,5,4,1,85
5,8,45000,9,71,2017,487,775000,4,4,5,1,1,113
5,2,98074,20,148,2016,85,432000,1,4,5,1,1,107
5,8,40330,21,186,2013,876,1080000,1,1,5,1,0,135
5,2,72017,20,173,2014,1745,269000,1,4,5,3,1,113
5,4,65002,20,155,2015,1190,521000,1,1,7,1,1,56
5,2,70000,20,145,2011,1246,150000,4,4,5,3,1,85
5,2,48005,17,126,2017,1099,407000,4,4,6,1,1,135
5,2,8625,9,76,2019,1574,459999,5,4,5,1,1,113
5,2,10000,29,239,2020,1876,725000,4,4,5,1,1,85
5,8,67000,28,233,2012,1062,340000,4,1,5,1,1,65
5,2,10000,29,239,2020,1876,735000,4,4,5,1,1,85
5,7,50000,9,69,2018,373,1200000,4,1,5,1,1,85
5,2,60000,20,177,2011,1224,145000,4,4,5,4,1,107
5,2,60000,20,151,2017,1952,350000,4,4,5,4,1,85
5,7,34000,0,8,2014,504,1950000,1,1,5,1,0,14
5,2,60000,20,144,2012,1780,300000,4,4,5,1,1,85
5,4,152000,30,271,2014,564,695000,1,1,7,1,1,14
