city,body_type,Kms_Driven,oem,model,modelYear,variantName,price,Insurance Validity,Fuel Type,Seating_Capacity,Ownership,Transmission,Color
5.0,8.0,70000,30.0,261.0,2014,1175.0,975000,4.0,4.0,5,4.0,0.0,135.0
5.0,2.0,23981,4.0,37.0,2017,1607.0,266000,1.0,4.0,5,1.0,1.0,107.0
5.0,7.0,7100,27.0,225.0,2021,1406.0,595000,1.0,4.0,5,1.0,0.0,9.0
5.0,2.0,71574,9.0,85.0,2011,149.0,223000,4.0,4.0,5,3.0,1.0,107.0
5.0,7.0,50000,0.0,7.0,2014,679.0,1200000,4.0,1.0,5,3.0,0.0,135.0
5.0,2.0,35629,20.0,173.0,2018,1737.0,425000,1.0,4.0,5,1.0,0.0,14.0
5.0,2.0,11476,9.0,76.0,2020,1571.0,596000,1.0,4.0,5,3.0,0.0,113.0
5.0,2.0,31000,27.0,224.0,2018,1409.0,250000,4.0,4.0,5,1.0,1.0,113.0
5.0,8.0,41005,20.0,169.0,2011,1769.0,221000,1.0,4.0,5,3.0,1.0,113.0
5.0,2.0,60055,20.0,173.0,2010,1218.0,208000,4.0,4.0,5,1.0,1.0,107.0
5.0,2.0,65005,20.0,168.0,2013,1728.0,311000,1.0,4.0,5,1.0,1.0,56.0
5.0,2.0,2657,27.0,224.0,2022,1405.0,463999,4.0,4.0,5,1.0,1.0,107.0
5.0,2.0,16000,9.0,84.0,2011,1289.0,204999,1.0,4.0,5,1.0,1.0,56.0
5.0,7.0,7426,29.0,242.0,2023,1914.0,2175000,1.0,1.0,5,1.0,0.0,107.0
5.0,2.0,27046,20.0,148.0,2018,83.0,643000,1.0,4.0,5,1.0,0.0,113.0
5.0,7.0,30100,30.0,267.0,2021,597.0,3750000,4.0,1.0,7,1.0,0.0,8.0
5.0,2.0,9000,20.0,173.0,2022,1233.0,545000,1.0,4.0,5,1.0,1.0,14.0
5.0,2.0,17000,9.0,85.0,2022,1575.0,750000,4.0,4.0,5,1.0,1.0,56.0
5.0,7.0,49200,12.0,96.0,2021,480.0,1650000,1.0,1.0,5,1.0,0.0,56.0
5.0,2.0,35000,9.0,84.0,2009,1067.0,225000,1.0,4.0,5,3.0,1.0,107.0
5.0,7.0,30000,14.0,109.0,2020,484.0,5990000,4.0,1.0,5,3.0,0.0,54.0
5.0,2.0,54044,20.0,147.0,2017,1761.0,315000,4.0,4.0,5,1.0,1.0,113.0
5.0,7.0,6500,29.0,251.0,2021,1842.0,799000,4.0,4.0,5,1.0,1.0,55.0
5.0,8.0,29159,20.0,153.0,2017,1773.0,526000,5.0,4.0,5,1.0,1.0,107.0
5.0,7.0,30000,14.0,109.0,2020,484.0,5990000,4.0,1.0,5,3.0,0.0,113.0
5.0,8.0,31968,8.0,59.0,2016,2009.0,675000,1.0,4.0,5,1.0,0.0,14.0
5.0,2.0,44150,9.0,74.0,2019,831.0,612000,4.0,4.0,5,3.0,1.0,9.0
5.0,2.0,60000,9.0,85.0,2010,121.0,189000,4.0,4.0,5,1.0,1.0,85.0
5.0,7.0,25009,9.0,69.0,2018,397.0,990000,1.0,4.0,5,1.0,0.0,56.0
5.0,2.0,46469,20.0,168.0,2020,1728.0,534000,5.0,4.0,5,1.0,1.0,113.0
5.0,7.0,45000,9.0,69.0,2018,418.0,800000,4.0,4.0,5,1.0,1.0,135.0
5.0,8.0,31577,9.0,81.0,2020,1496.0,983000,4.0,4.0,5,1.0,1.0,8.0
5.0,2.0,56005,20.0,151.0,2014,1740.0,281000,1.0,4.0,5,1.0,0.0,107.0
5.0,2.0,10005,20.0,173.0,2021,1728.0,535000,1.0,4.0,5,1.0,1.0,14.0
5.0,2.0,41163,9.0,73.0,2017,92.0,475000,1.0,4.0,5,1.0,1.0,107.0
5.0,8.0,17839,21.0,189.0,2020,1079.0,5300000,1.0,1.0,5,1.0,0.0,56.0
5.0,8.0,3800,30.0,276.0,2019,1665.0,695000,1.0,4.0,5,1.0,1.0,107.0
5.0,2.0,34124,20.0,173.0,2018,1728.0,395000,1.0,4.0,5,1.0,1.0,9.0
5.0,2.0,50000,9.0,85.0,2012,210.0,200000,4.0,1.0,5,3.0,1.0,85.0
5.0,8.0,48168,8.0,59.0,2018,2029.0,750000,1.0,4.0,5,1.0,1.0,65.0
5.0,4.0,20000,17.0,127.0,2019,1275.0,975000,4.0,1.0,8,4.0,1.0,85.0
5.0,8.0,56357,20.0,169.0,2018,1224.0,480000,4.0,4.0,5,1.0,1.0,135.0
5.0,8.0,60000,20.0,169.0,2010,1769.0,245000,4.0,4.0,5,1.0,1.0,9.0
5.0,2.0,10585,20.0,148.0,2022,981.0,719000,1.0,4.0,5,1.0,1.0,9.0
5.0,8.0,50000,8.0,61.0,2012,437.0,375000,4.0,4.0,5,3.0,0.0,85.0
5.0,7.0,17642,9.0,69.0,2020,1435.0,1214000,5.0,4.0,5,1.0,1.0,135.0
5.0,2.0,20000,29.0,256.0,2018,55.0,438999,4.0,1.0,5,1.0,1.0,85.0
5.0,2.0,9157,9.0,74.0,2021,831.0,753000,4.0,4.0,5,1.0,1.0,9.0
5.0,8.0,65979,8.0,55.0,2016,1454.0,362000,1.0,4.0,5,3.0,1.0,85.0
5.0,8.0,65000,28.0,235.0,2014,408.0,300000,4.0,1.0,5,1.0,1.0,49.0
